stimID,gender,age,trustworthy,attractive,dominant,warm,intelligent,percAge
stim1,Female,Old,4.287878788,2.393939394,3.348484848,4.681818182,4.742424242,63.22727273
stim2,Female,Old,4.166666667,2.954545455,3.560606061,4.196969697,4.636363636,47.86363636
stim3,Female,Old,3.833333333,2.772727273,3.53030303,3.878787879,4,53.63636364
stim4,Female,Old,4.196969697,2.757575758,3.666666667,4.454545455,4.757575758,52.63636364
stim5,Female,Old,4.46969697,2.757575758,3.227272727,4.848484848,4.5,54.31818182
stim6,Female,Old,4.144927536,2.217391304,2.826086957,4.31884058,4.666666667,53.30434783
stim7,Female,Old,4,2.260869565,3.260869565,4.057971014,4,54.24637681
stim8,Female,Old,4.463768116,2.623188406,3.449275362,4.376811594,4.971014493,57.82608696
stim9,Female,Old,4.507246377,3.086956522,3.231884058,4.623188406,4.739130435,54.07246377
stim10,Female,Old,4.173913043,2.246376812,3.043478261,4.463768116,4.275362319,54.31884058
stim11,Male,Old,3.984848485,2.621212121,3.424242424,4.136363636,4.378787879,58.31818182
stim12,Male,Old,4.015151515,2.621212121,3.454545455,3.727272727,5.196969697,57.25757576
stim13,Male,Old,3.787878788,2.681818182,4.287878788,3.818181818,5.151515152,59.18181818
stim14,Male,Old,3.818181818,2.121212121,3.787878788,4.045454545,5.166666667,70.96969697
stim15,Male,Old,3.075757576,2.454545455,4.378787879,2.757575758,4.590909091,54.1969697
stim16,Male,Old,3.231884058,2.130434783,3.52173913,3.217391304,4.275362319,60.63768116
stim17,Male,Old,2.47826087,2.028985507,3.869565217,2.246376812,4.028985507,52.49275362
stim18,Male,Old,3.173913043,1.927536232,3,3.695652174,3.913043478,57.62318841
stim19,Male,Old,3.289855072,2.217391304,3.942028986,2.724637681,4.855072464,54.37681159
stim20,Male,Old,3.927536232,2.188405797,3.217391304,4.202898551,4.623188406,59.5942029
stim21,Female,Young,4.272727273,4.954545455,3.409090909,4.424242424,4.5,25.96969697
stim22,Female,Young,3.742424242,4.212121212,3.924242424,3.681818182,4.409090909,30.10606061
stim23,Female,Young,4.303030303,4.287878788,3.424242424,4.606060606,4.409090909,27.04545455
stim24,Female,Young,3.757575758,5.621212121,4.015151515,4.242424242,4.378787879,22.95454545
stim25,Female,Young,3.484848485,3.878787879,3.545454545,3.939393939,3.924242424,26.81818182
stim26,Female,Young,3.739130435,4.565217391,3.594202899,4.057971014,4.420289855,33.91304348
stim27,Female,Young,4.231884058,4.449275362,3.028985507,4.666666667,4.666666667,29.37681159
stim28,Female,Young,4.202898551,4.043478261,3.362318841,4.289855072,4.666666667,30.44927536
stim29,Female,Young,3.971014493,5.144927536,3.47826087,4.449275362,4.782608696,25.50724638
stim30,Female,Young,3.434782609,5.231884058,3.304347826,4.014492754,3.956521739,23.30434783
stim31,Male,Young,3.772727273,3.424242424,3.772727273,4.045454545,4.151515152,30.37878788
stim32,Male,Young,3.651515152,3.015151515,3.5,3.590909091,4.181818182,35.51515152
stim33,Male,Young,3.636363636,2.848484848,3.424242424,3.909090909,4.272727273,29.63636364
stim34,Male,Young,3.757575758,3.424242424,3.075757576,4.287878788,4.318181818,20.51515152
stim35,Male,Young,3.439393939,3.575757576,3.772727273,3.46969697,4.363636364,29.40909091
stim36,Male,Young,3.47826087,2.710144928,2.695652174,3.971014493,4.260869565,24.7826087
stim37,Male,Young,3.246376812,3.057971014,3.130434783,3.768115942,4.217391304,31.47826087
stim38,Male,Young,2.898550725,3.15942029,3.710144928,2.971014493,4.362318841,30.14492754
stim39,Male,Young,3.550724638,2.927536232,2.84057971,3.84057971,4.492753623,32.31884058
stim40,Male,Young,3.68115942,3.47826087,3.275362319,3.942028986,4.260869565,28.23188406